Rank,Track.Name,Length (sec),Foreign Key
1,China,302,Anuel AA
2,boyfriend (with Social House),186,Ariana Grande
3,Ransom,131,Lil Tecca
4,How Do You Sleep?,202,Sam Smith
5,Callaita,251,Bad Bunny
6,Loco Contigo (feat. J. Balvin & Tyga),185,DJ Snake
7,Someone You Loved,182,Lewis Capaldi
8,Money In The Grave (Drake ft. Rick Ross),205,Drake
9,No Guidance (feat. Drake),261,Chris Brown
10,Sunflower - Spider-Man: Into the Spider-Verse,158,Post Malone
11,Lalala,161,Y2K
12,Truth Hurts,173,Lizzo
13,Piece Of Your Heart,153,MEDUZA
14,Panini,115,Lil Nas X
15,No Me Conoce - Remix,309,Jhay Cortez
16,Soltera - Remix,266,Lunay
17,bad guy (with Justin Bieber),195,Billie Eilish
18,If I Can't Have You,191,Shawn Mendes
19,Dance Monkey,210,Tones and I
20,It's You,213,Ali Gatie
21,Con Calma,193,Daddy Yankee
22,QUE PRETENDES,222,J Balvin
23,The London (feat. J. Cole & Travis Scott),200,Young Thug
24,Never Really Over,224,Katy Perry
25,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),164,Martin Garrix
26,Otro Trago,226,Sech
27,Sucker,181,Jonas Brothers
28,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",199,Lauv
29,Higher Love,228,Kygo
30,You Need To Calm Down,171,Taylor Swift
31,Shallow,216,Lady Gaga
32,Talk,198,Khalid
33,Con Altura,162,ROSALÍA
34,Te Robaré,202,Nicky Jam
35,Happier,214,Marshmello
36,Call You Mine,218,The Chainsmokers
37,Cross Me (feat. Chance the Rapper & PnB Rock),206,Ed Sheeran